iter	Passed	Remaining
0	63	63312
1	63	31805
2	63	21259
3	64	16010
4	64	12872
5	65	10770
6	65	9260
7	65	8124
8	65	7238
9	65	6533
10	66	5957
11	66	5471
12	66	5060
13	66	4712
14	67	4410
15	67	4144
16	67	3909
17	67	3701
18	68	3514
19	68	3346
20	68	3195
21	68	3058
22	69	2934
23	69	2818
24	69	2713
25	69	2617
26	70	2527
27	70	2442
28	70	2362
29	70	2291
30	71	2221
31	71	2156
32	72	2114
33	72	2056
34	72	2001
35	72	1950
36	73	1902
37	73	1856
38	73	1815
39	73	1773
40	74	1733
41	74	1695
42	74	1659
43	74	1626
44	75	1593
45	75	1562
46	75	1532
47	76	1517
48	76	1490
49	77	1463
50	77	1437
51	77	1412
52	77	1389
53	78	1368
54	78	1345
55	78	1325
56	78	1305
57	79	1287
58	79	1269
59	79	1252
60	80	1235
61	80	1220
62	81	1205
63	81	1190
64	81	1173
65	81	1158
66	82	1143
67	82	1128
68	82	1114
69	82	1100
70	83	1087
71	83	1073
72	83	1060
73	83	1047
74	83	1035
75	84	1023
76	84	1013
77	84	1001
78	84	990
79	85	979
80	85	968
81	85	958
82	85	946
83	85	936
84	86	926
85	86	917
86	86	908
87	86	901
88	87	892
89	87	883
90	87	874
91	87	866
92	88	858
93	88	850
94	88	842
95	88	834
96	88	827
97	89	820
98	89	813
99	89	806
100	90	805
101	90	799
102	91	792
103	91	786
104	91	779
105	91	772
106	91	766
107	92	760
108	92	755
109	92	749
110	92	744
111	93	738
112	93	732
113	93	727
114	93	722
115	94	717
116	94	712
117	94	707
118	94	703
119	95	702
120	95	696
121	96	691
122	96	686
123	96	681
124	96	677
125	96	672
126	97	667
127	97	663
128	97	659
129	97	655
130	98	650
131	98	646
132	98	642
133	98	638
134	98	634
135	99	630
136	99	626
137	99	622
138	99	619
139	100	615
140	100	611
141	100	607
142	100	603
143	101	600
144	101	596
145	101	593
146	101	589
147	101	586
148	102	583
149	102	579
150	102	576
151	102	573
152	102	570
153	103	567
154	103	564
155	103	560
156	103	558
157	104	555
158	104	551
159	104	549
160	104	545
161	104	542
162	105	539
163	105	536
164	105	534
165	105	531
166	105	528
167	106	525
168	106	523
169	106	520
170	106	518
171	107	515
172	107	513
173	107	510
174	107	508
175	108	505
176	108	503
177	108	501
178	108	498
179	109	496
180	109	494
181	109	492
182	109	490
183	109	487
184	110	485
185	110	482
