iter	Passed	Remaining
0	55	55763
1	56	27990
2	56	18723
3	56	14084
4	56	11299
5	57	9443
6	57	8123
7	57	7130
8	57	6357
9	58	5764
10	58	5261
11	58	4845
12	59	4487
13	59	4180
14	59	3913
15	59	3678
16	60	3473
17	60	3289
18	60	3125
19	60	2978
20	61	2843
21	61	2721
22	61	2610
23	61	2513
24	62	2419
25	62	2333
26	62	2254
27	62	2179
28	63	2109
29	63	2045
30	63	1984
31	63	1926
32	63	1872
33	64	1821
34	64	1774
35	64	1728
36	64	1686
37	65	1646
38	65	1609
39	65	1572
40	65	1538
41	66	1505
42	66	1473
43	66	1443
44	66	1414
45	66	1386
46	67	1360
47	67	1336
48	67	1311
49	67	1288
50	68	1266
51	68	1244
52	69	1236
53	69	1216
54	69	1197
55	69	1179
56	70	1163
57	70	1146
58	70	1129
59	71	1113
60	71	1097
61	71	1083
62	71	1068
63	72	1054
64	72	1040
65	72	1026
66	72	1014
67	73	1001
68	73	989
69	73	977
70	73	966
71	74	954
72	74	943
73	74	933
74	74	923
75	75	913
76	75	902
77	75	892
78	75	882
79	75	872
80	76	863
81	76	854
82	76	844
83	76	835
84	76	827
85	77	819
86	77	810
87	77	802
88	77	795
89	77	788
90	78	781
91	78	773
92	78	767
93	78	760
94	79	754
95	79	747
96	79	740
97	79	734
98	80	728
99	80	722
100	80	716
101	80	710
102	80	704
103	81	698
104	81	692
105	81	687
106	81	682
107	82	677
108	82	672
109	82	667
110	82	662
111	82	657
112	83	652
113	83	647
114	83	642
115	83	638
116	83	633
117	84	628
118	84	624
119	84	620
120	84	616
121	85	611
122	85	607
123	85	604
124	85	600
125	86	596
126	86	592
127	86	588
128	86	585
129	86	581
130	87	577
131	87	574
132	87	570
133	87	567
134	88	564
135	88	560
136	88	558
137	88	555
138	89	552
139	89	549
140	89	546
141	89	542
142	90	539
143	90	537
144	90	534
145	90	531
146	91	528
147	91	526
148	91	523
149	91	520
150	92	517
151	92	514
152	92	511
153	92	509
154	92	506
155	93	504
156	93	501
157	93	499
158	93	496
159	94	493
160	94	490
161	94	488
162	94	485
163	94	483
164	95	481
165	95	478
166	95	476
167	95	474
168	96	472
169	96	470
170	96	467
171	96	465
172	96	463
173	97	461
174	97	459
175	97	457
176	97	455
177	98	453
178	98	451
179	98	449
180	98	447
181	99	445
182	99	443
183	99	441
184	99	439
185	99	437
186	100	435
187	100	433
188	100	431
189	100	429
190	101	427
191	101	426
192	101	425
193	101	423
194	102	421
195	102	420
196	102	418
197	102	416
198	103	415
199	103	413
200	103	411
201	103	409
202	103	408
203	104	406
204	104	404
205	104	403
206	104	401
207	105	400
208	105	398
209	105	397
210	105	395
211	106	394
212	106	392
213	106	391
214	106	389
215	106	388
216	107	386
217	107	385
218	107	383
219	107	382
220	108	380
221	108	379
222	108	378
223	108	376
224	108	375
225	109	373
226	109	372
227	109	371
228	109	370
229	110	368
230	110	367
231	110	365
232	110	364
233	111	363
234	111	362
235	111	361
236	111	359
237	111	358
238	112	357
239	112	356
240	112	354
241	112	353
242	113	352
243	113	351
244	113	350
245	113	349
246	114	347
247	114	346
248	114	345
249	114	344
250	115	343
251	115	342
252	115	340
253	115	339
254	115	338
255	116	337
256	116	336
257	116	335
258	116	334
259	116	332
260	117	332
261	117	330
262	117	329
263	117	328
264	118	327
265	118	326
266	118	325
267	118	324
268	119	324
269	119	323
270	119	322
271	119	320
272	120	320
273	120	319
274	120	318
275	120	316
276	121	315
277	121	315
278	121	314
279	121	313
280	122	312
281	122	311
282	122	310
283	122	309
284	123	308
285	123	307
286	123	306
287	123	305
288	123	304
289	124	304
290	124	303
291	124	302
292	125	301
293	125	301
294	125	300
295	125	299
296	126	298
297	126	297
298	126	297
299	126	296
300	127	295
301	127	294
302	127	293
303	127	292
304	128	292
305	128	291
306	128	290
307	129	290
308	129	289
309	129	288
310	130	288
311	130	287
312	130	286
313	130	285
314	131	284
315	131	284
316	131	283
317	131	282
318	132	282
319	132	281
320	132	280
321	132	279
322	132	278
323	133	277
324	133	277
325	133	276
326	133	275
327	134	274
328	134	273
329	134	273
330	134	272
331	134	271
332	135	270
333	135	270
334	135	269
335	135	268
336	136	267
337	136	267
338	136	266
339	136	265
340	137	264
341	137	264
342	137	263
343	137	262
344	138	262
345	138	261
346	138	260
347	138	259
348	138	258
349	139	258
350	139	257
351	139	256
352	139	256
353	139	255
354	140	254
355	140	254
356	140	253
357	140	252
358	141	251
359	141	251
360	141	250
361	141	249
362	141	249
363	142	248
364	142	247
365	142	247
366	142	246
367	143	245
368	143	245
369	143	244
370	143	243
371	144	243
372	144	242
373	144	241
